Fecha;TRM
24/07/2019;3188,01
25/07/2019;3194,67
26/07/2019;3213,09
29/07/2019;3233,26
30/07/2019;3262,81
31/07/2019;3296,85
1/08/2019;3291,79
2/08/2019;3329,23
5/08/2019;3365,78
6/08/2019;3459,47
8/08/2019;3431,28
9/08/2019;3394,61
12/08/2019;3382,71
13/08/2019;3436,26
14/08/2019;3407,76
15/08/2019;3449,27
16/08/2019;3447,76
20/08/2019;3441,4
21/08/2019;3420,99
22/08/2019;3385,28
23/08/2019;3376,99
26/08/2019;3399,95
27/08/2019;3432,85
28/08/2019;3457,89
29/08/2019;3477,53
30/08/2019;3464,15
2/09/2019;3427,29
3/09/2019;3427,29
4/09/2019;3438,61
5/09/2019;3401,04
6/09/2019;3377,39
9/09/2019;3361,7
10/09/2019;3368,8
11/09/2019;3373,75
12/09/2019;3372,48
13/09/2019;3359,2
16/09/2019;3356,15
17/09/2019;3364,43
18/09/2019;3380,92
19/09/2019;3377,79
20/09/2019;3377,72
23/09/2019;3402,32
24/09/2019;3437,78
25/09/2019;3438,66
26/09/2019;3451,02
27/09/2019;3435,71
30/09/2019;3462,01
1/10/2019;3477,45
2/10/2019;3491,29
3/10/2019;3497,34
4/10/2019;3467,6
7/10/2019;3430,28
8/10/2019;3445,76
9/10/2019;3452,57
10/10/2019;3454,56
11/10/2019;3458,42
15/10/2019;3431,46
16/10/2019;3451,33
17/10/2019;3459,55
18/10/2019;3465,35
21/10/2019;3428,63
22/10/2019;3442,78
23/10/2019;3430,3
24/10/2019;3409,29
25/10/2019;3387,72
28/10/2019;3395,25
29/10/2019;3382,19
30/10/2019;3380,9
31/10/2019;3389,94
1/11/2019;3383,29
5/11/2019;3339,19
6/11/2019;3318,47
7/11/2019;3319,64
8/11/2019;3327,02
12/11/2019;3341,01
13/11/2019;3384,21
14/11/2019;3441,89
15/11/2019;3452,67
18/11/2019;3421,26
19/11/2019;3447,74
20/11/2019;3434,49
21/11/2019;3445,95
22/11/2019;3440,66
25/11/2019;3410,77
26/11/2019;3433,94
27/11/2019;3469,01
28/11/2019;3502,92
29/11/2019;3502,92
2/12/2019;3522,48
3/12/2019;3508,39
4/12/2019;3506,67
5/12/2019;3478,57
6/12/2019;3459,97
9/12/2019;3430,31
10/12/2019;3418,48
11/12/2019;3418,61
12/12/2019;3387,73
13/12/2019;3372,23
16/12/2019;3374,29
17/12/2019;3364,24
18/12/2019;3347,86
19/12/2019;3329,98
20/12/2019;3322,38
23/12/2019;3325,47
24/12/2019;3316,92
25/12/2019;3305,84
26/12/2019;3305,84
27/12/2019;3281,4
30/12/2019;3294,05
31/12/2019;3277,14
2/01/2020;3277,14
3/01/2020;3258,84
7/01/2020;3262,05
8/01/2020;3264,26
9/01/2020;3254,42
10/01/2020;3253,89
13/01/2020;3272,62
14/01/2020;3288,05
15/01/2020;3278,83
16/01/2020;3296,74
17/01/2020;3313,4
20/01/2020;3320,77
21/01/2020;3320,77
22/01/2020;3347,91
23/01/2020;3337,77
24/01/2020;3353,76
27/01/2020;3366,01
28/01/2020;3398,4
29/01/2020;3392,6
30/01/2020;3395,1
31/01/2020;3411,45
3/02/2020;3423,24
4/02/2020;3401,56
